country,admin1,events_2025,events_2026,fatalities_2025,fatalities_2026,acceleration,lethality_per100,civilian_share,coercive_share,diversity,persistence,country_event_share,coercive_residual,cluster,cluster_name,pc1,pc2,lat,lon,abduction,mob_violence,air_drone
Cameroon,Adamaoua,2,1,0,0,-0.5,0.0,1.0,1.0,1,0.029411764705882353,0.00024084778420038535,0.817154186281015,3,Single-record coercive outlier,0.8771163997736697,4.049958106773642,7.0781,13.218,1,0,0
Cameroon,Centre,10,6,1,1,-0.4,16.666666666666668,0.0,0.0,3,0.17647058823529413,0.001445086705202312,0.33112016765983865,2,Lower-volume mixed activity,-1.0875170518114377,-0.14138252609151555,4.6837,11.854,0,4,0
Cameroon,Est,0,0,0,0,,,,,,,,,,,,,3.8946,13.8592,0,0,0
Cameroon,Extreme-Nord,816,856,441,438,0.049019607843137254,51.16822429906542,0.4544392523364486,0.48598130841121495,17,1.0294117647058822,0.20616570327552985,0.6796184231797071,1,Persistent multi-vector hotspots,3.805249819251473,-0.5556514873105404,11.4565,14.792,226,29,1
Cameroon,Littoral,6,10,2,4,0.6666666666666666,40.0,0.0,0.0,3,0.29411764705882354,0.0024084778420038534,0.33112016765983865,2,Lower-volume mixed activity,-0.9310742101622227,-0.35172071095446744,4.2905,10.2235,0,6,0
Cameroon,Nord,10,7,3,2,-0.3,28.571428571428573,0.42857142857142855,0.14285714285714285,4,0.14705882352941177,0.0016859344894026974,-0.6166353426810286,2,Lower-volume mixed activity,-0.44273765954604083,0.8939846671582158,8.6371,13.8726,1,3,0
Cameroon,Nord-Ouest,1564,2069,376,337,0.32289002557544755,16.288061865635573,0.5239246012566457,0.5543740937651039,14,1.0294117647058822,0.4983140655105973,0.7089699409683055,1,Persistent multi-vector hotspots,4.985539250569948,-0.5508223556442434,6.4342,10.4682,738,104,0
Cameroon,Ouest,1,5,2,2,4.0,40.0,0.2,0.2,4,0.11764705882352941,0.0012042389210019267,0.4283269713840739,2,Lower-volume mixed activity,-0.6367621125627958,0.516798025767025,5.5347,10.583,1,2,0
Cameroon,Sud,3,0,1,0,-1.0,,,,,,,,,,,,2.9212,11.3475,0,0,0
Cameroon,Sud-Ouest,722,1198,388,571,0.6592797783933518,47.66277128547579,0.44741235392320533,0.3981636060100167,14,1.0294117647058822,0.2885356454720617,0.349307738985037,1,Persistent multi-vector hotspots,3.7095642355157317,-0.6972460618186143,5.236,9.2808,278,63,0
Chad,Barh El Gazel,0,0,0,0,,,,,,,,,,,,,14.6819,16.9986,0,0,0
Chad,Batha,3,6,19,15,1.0,250.0,0.5,0.0,2,0.17647058823529413,0.02,-1.4489604800919733,0,Sparse high-lethality,-1.0618615185977627,-0.14223987724415552,14.4504,18.9154,0,3,0
Chad,Borkou,0,4,0,5,,125.0,0.25,0.0,3,0.058823529411764705,0.013333333333333334,-0.5589201562160674,2,Lower-volume mixed activity,-1.1870912091728083,-0.03678515296136015,17.4744,18.1475,0,0,0
Chad,Chari Baguirmi,0,1,0,5,,500.0,0.0,0.0,1,0.029411764705882353,0.0033333333333333335,0.33112016765983865,0,Sparse high-lethality,-2.3739913138716524,-2.0226515899113244,11.1026,16.3757,0,1,0
Chad,Ennedi Est,2,1,6,0,-0.5,0.0,0.0,0.0,1,0.029411764705882353,0.0033333333333333335,0.33112016765983865,2,Lower-volume mixed activity,-1.5084933380413552,0.18645254122874275,17.4347,23.1751,0,0,1
Chad,Ennedi Ouest,0,0,0,0,,,,,,,,,,,,,18.3366,20.9188,0,0,0
Chad,Guera,2,8,6,10,3.0,125.0,0.125,0.25,4,0.20588235294117646,0.02666666666666667,0.8976488342530857,2,Lower-volume mixed activity,-0.5220680530519795,-0.04887426529403381,11.4606,18.1047,0,3,0
Chad,Hadjer-Lamis,3,2,4,0,-0.3333333333333333,0.0,0.5,0.0,2,0.058823529411764705,0.006666666666666667,-1.4489604800919733,2,Lower-volume mixed activity,-0.8801778405727984,1.0951791708528011,12.4213,15.4845,0,0,0
Chad,Kanem,2,2,2,2,0.0,100.0,1.0,0.0,1,0.058823529411764705,0.006666666666666667,-3.2290411278437854,2,Lower-volume mixed activity,-0.705071691191044,1.7218467403466071,14.9824,15.0332,0,0,0
Chad,Lac,39,88,32,66,1.2564102564102564,75.0,0.5340909090909091,0.38636363636363635,11,0.7647058823529411,0.29333333333333333,-0.007026880163196525,1,Persistent multi-vector hotspots,2.985567406237971,-0.24886082958885924,13.7534,14.1757,32,13,3
Chad,Logone Occidental,7,5,65,6,-0.2857142857142857,120.0,0.2,0.0,3,0.11764705882352941,0.016666666666666666,-0.3809120914408862,2,Lower-volume mixed activity,-1.1132053908313155,-0.1747452724364377,8.7691,15.9364,0,3,0
Chad,Logone Oriental,17,15,18,12,-0.11764705882352941,80.0,0.06666666666666667,0.06666666666666667,6,0.35294117647058826,0.05,0.363522435567917,2,Lower-volume mixed activity,-0.20939811121886492,-0.6123225976387766,8.3,16.4621,0,9,0
Chad,Mandoul,4,10,3,5,1.5,50.0,0.1,0.6,3,0.14705882352941177,0.03333333333333333,2.4028212265843565,2,Lower-volume mixed activity,-0.0709407772900128,0.9806549352630234,8.7112,17.5787,0,3,0
Chad,Mayo Kebbi Est,1,7,0,13,6.0,185.71428571428572,0.0,0.0,1,0.11764705882352941,0.023333333333333334,0.33112016765983865,0,Sparse high-lethality,-1.5978228204565517,-0.7544338443103514,10.2098,15.8059,0,7,0
Chad,Mayo Kebbi Ouest,2,7,22,2,2.5,28.571428571428573,0.42857142857142855,0.42857142857142855,5,0.20588235294117646,0.023333333333333334,0.5394204613546286,2,Lower-volume mixed activity,0.2815492555674042,1.2608705695549822,9.2323,14.8601,1,1,0
Chad,Moyen-Chari,2,21,0,59,9.5,280.95238095238096,0.47619047619047616,0.047619047619047616,6,0.2647058823529412,0.07,-1.1715187676216583,0,Sparse high-lethality,-0.2681074025197958,-0.6745120663507982,9.3213,18.8631,0,0,0
Chad,Ndjamena,29,39,23,9,0.3448275862068966,23.076923076923077,0.1794871794871795,0.20512820512820512,9,0.7058823529411765,0.13,0.5221056405950446,2,Lower-volume mixed activity,1.4524782822403057,-0.5495795609438631,12.1523,15.0196,1,6,0
Chad,Ouaddai,14,30,30,11,1.1428571428571428,36.666666666666664,0.43333333333333335,0.1,10,0.4411764705882353,0.1,-0.8069968623125852,2,Lower-volume mixed activity,1.048523628414619,-0.05774027259841902,13.5147,21.2678,2,7,0
Chad,Salamat,3,2,27,0,-0.3333333333333333,0.0,0.0,0.0,2,0.029411764705882353,0.006666666666666667,0.33112016765983865,2,Lower-volume mixed activity,-1.3852075546825455,0.11627611196986411,10.6118,20.7096,0,0,0
