week_date,REGION,COUNTRY,ADMIN1,EVENT_TYPE,SUB_EVENT_TYPE,EVENTS,FATALITIES,POPULATION_EXPOSURE,DISORDER_TYPE,ID,CENTROID_LATITUDE,CENTROID_LONGITUDE
2020-12-26,Middle Africa,Cameroon,Adamaoua,Battles,Armed clash,1,0,13508,Political violence,3753,7.0781,13.218
2021-01-23,Middle Africa,Cameroon,Adamaoua,Battles,Armed clash,1,1,1048,Political violence,3753,7.0781,13.218
2022-04-16,Middle Africa,Cameroon,Adamaoua,Battles,Armed clash,1,2,14895,Political violence,3753,7.0781,13.218
2022-08-06,Middle Africa,Cameroon,Adamaoua,Battles,Armed clash,1,1,2439,Political violence,3753,7.0781,13.218
2023-03-04,Middle Africa,Cameroon,Adamaoua,Battles,Armed clash,1,2,259073,Political violence,3753,7.0781,13.218
2023-07-01,Middle Africa,Cameroon,Adamaoua,Battles,Armed clash,1,0,1098,Political violence,3753,7.0781,13.218
2024-01-06,Middle Africa,Cameroon,Adamaoua,Battles,Armed clash,1,0,20198,Political violence,3753,7.0781,13.218
2021-05-22,Middle Africa,Cameroon,Adamaoua,Protests,Peaceful protest,1,0,26784,Demonstrations,3753,7.0781,13.218
2025-10-25,Middle Africa,Cameroon,Adamaoua,Protests,Peaceful protest,1,0,30915,Demonstrations,3753,7.0781,13.218
2025-11-29,Middle Africa,Cameroon,Adamaoua,Protests,Protest with intervention,1,0,23,Demonstrations,3753,7.0781,13.218
2025-11-01,Middle Africa,Cameroon,Adamaoua,Riots,Mob violence,2,0,44372,Political violence,3753,7.0781,13.218
2025-12-27,Middle Africa,Cameroon,Adamaoua,Riots,Mob violence,1,0,111925,Political violence,3753,7.0781,13.218
2020-02-08,Middle Africa,Cameroon,Adamaoua,Riots,Violent demonstration,1,0,38002,Demonstrations,3753,7.0781,13.218
2020-03-14,Middle Africa,Cameroon,Adamaoua,Riots,Violent demonstration,1,1,97828,Demonstrations,3753,7.0781,13.218
2025-10-18,Middle Africa,Cameroon,Adamaoua,Riots,Violent demonstration,1,0,111925,Demonstrations,3753,7.0781,13.218
2022-09-17,Middle Africa,Cameroon,Adamaoua,Strategic developments,Arrests,1,0,,Strategic developments,3753,7.0781,13.218
2022-05-28,Middle Africa,Cameroon,Adamaoua,Strategic developments,Disrupted weapons use,1,0,,Strategic developments,3753,7.0781,13.218
2024-10-26,Middle Africa,Cameroon,Adamaoua,Strategic developments,Disrupted weapons use,1,0,,Strategic developments,3753,7.0781,13.218
2020-11-21,Middle Africa,Cameroon,Adamaoua,Strategic developments,Headquarters or base established,1,0,,Strategic developments,3753,7.0781,13.218
2023-03-18,Middle Africa,Cameroon,Adamaoua,Strategic developments,Looting/property destruction,1,0,,Strategic developments,3753,7.0781,13.218
