iso,name,regime,cluster_id,cluster_label,C1_security_apparatus,C2_factionalized_elites,C3_group_grievance,E1_economy,E2_economic_inequality,E3_human_flight,P1_state_legitimacy,P2_public_services,P3_human_rights,S1_demographic_pressures,S2_refugees_idps,X1_external_intervention,bti_failed_state,bti_governance_index,q12_sustainability,q133_conflict_intensity,q153_anticorruption,q162_antidemocratic_actors,q21_free_fair_elections,q22_effective_power,q3_rule_of_law,q4_stability_dem_inst,q42_commitment_dem_inst,q6_socioeconomic_dev,q81_monetary_stability,si_democracy_status,gpi_2024,ppi_2024,mean_years_schooling,hdi_2023,fsi_total,gap,z_gpi,z_ppi,pc1,pc2
BEN,Benin,Autocracy,3,Comparatively Consolidated,5.2,6.7,2.6,6.8,7.8,6.1,5.3,8.3,5.7,8.0,5.9,4.9,7.5,5.802,4.5,3.0,5.0,5.0,5.0,3.0,5.5,3.0,3.0,2.0,8.0,5.483,2.306,3.293,3.137,0.504,73.3,-0.835,-0.471,-1.306,-2.965,-1.04
BFA,Burkina Faso,Autocracy,0,Contested Monopoly,9.3,8.2,5.8,7.2,8.3,7.0,7.4,8.6,7.0,8.3,8.2,8.7,3.5,4.76,3.0,9.0,4.0,4.0,1.0,1.0,3.0,2.0,2.0,1.0,8.0,3.883,2.969,3.516,2.319,0.438,94.0,-1.781,1.112,-0.669,1.688,-1.598
CMR,Cameroon,Autocracy,2,Coercively Stable Rentier,8.1,9.3,8.1,6.0,7.4,6.9,8.8,8.3,7.3,9.0,8.4,6.4,5.0,3.93,4.0,7.0,3.0,3.0,3.0,2.0,3.25,2.0,2.0,3.0,8.0,3.567,2.773,3.938,6.537,0.587,94.0,-0.107,0.644,0.537,0.962,1.243
CAF,Central African Republic,Autocracy,0,Contested Monopoly,8.0,9.4,8.1,8.2,9.6,6.2,8.9,10.0,9.1,9.3,9.5,9.4,2.5,4.063,2.5,9.0,3.0,3.0,5.0,3.0,3.5,2.5,3.0,1.0,7.0,3.55,3.009,4.32,3.953,0.387,105.7,0.42,1.208,1.628,3.103,-0.918
TCD,Chad,Autocracy,0,Contested Monopoly,8.7,9.5,8.1,8.4,8.7,7.7,9.1,9.6,8.4,9.5,9.0,7.9,4.0,2.308,2.5,7.0,2.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,7.0,2.367,2.704,4.257,2.283,0.394,104.6,0.969,0.479,1.448,3.538,0.548
CIV,Côte d'Ivoire,Autocracy,,,,,,,,,,,,,,,7.5,5.604,3.0,5.0,4.0,6.0,5.0,3.0,3.75,3.0,3.0,2.0,8.0,4.883,2.255,3.556,4.237,0.534,,,,,,
COD,Democratic Republic of the Congo,Autocracy,0,Contested Monopoly,8.8,9.6,9.4,8.1,8.4,6.4,9.3,9.3,9.3,9.7,9.8,9.1,2.5,2.875,2.0,8.0,2.0,2.0,4.0,3.0,2.75,2.0,2.0,1.0,5.0,3.667,3.264,4.169,7.206,0.481,107.2,-0.62,1.817,1.197,3.516,0.176
GNQ,Equatorial Guinea,Autocracy,2,Coercively Stable Rentier,5.9,8.2,7.5,6.7,7.6,3.7,9.9,8.5,8.2,9.1,5.5,3.6,6.5,3.516,3.0,3.0,1.0,1.0,2.0,2.0,1.75,1.0,1.0,2.0,8.0,2.883,2.132,4.085,8.281,0.65,84.4,1.844,-0.887,0.957,0.023,3.036
GAB,Gabon,Autocracy,2,Coercively Stable Rentier,4.2,7.7,3.1,5.9,5.8,4.6,8.1,6.8,6.1,6.7,2.6,3.9,8.0,4.567,6.0,2.0,4.0,4.0,4.0,3.0,3.5,2.5,2.0,4.0,8.0,4.7,2.372,3.55,9.55,0.693,65.5,-0.258,-0.314,-0.572,-2.947,2.777
GMB,Gambia,Democracy,,,,,,,,,,,,,,,7.5,5.896,5.0,3.0,3.0,9.0,7.0,7.0,6.5,7.5,8.0,2.0,8.0,7.2,,,,,,,,,,
GHA,Ghana,Democracy,3,Comparatively Consolidated,4.0,5.9,3.0,5.8,6.6,6.8,3.2,6.8,3.8,7.4,3.5,5.5,7.5,6.337,4.5,4.0,5.0,9.0,8.0,9.0,6.75,8.5,8.0,4.0,4.0,7.85,1.938,3.053,6.432,0.602,62.3,-0.642,-1.351,-1.992,-5.427,-0.634
GIN,Guinea,Autocracy,0,Contested Monopoly,8.7,10.0,9.4,8.0,7.5,6.3,9.7,9.4,7.3,8.8,6.2,7.2,6.5,5.088,2.5,6.0,4.0,3.0,1.0,1.0,3.5,3.0,3.0,1.0,6.0,4.367,2.423,3.95,2.359,0.471,98.5,0.763,-0.192,0.571,1.36,-0.32
